Gene,Drug,Disease,Mechanism
BRCA1,Olaparib,Cancer,Androgen receptor antagonist
FGFR1,Erdafitinib,Cancer,FGFR inhibitor
VEGFA,Sunitinib,Advanced cancer,Androgen receptor antagonist
KIT,Sunitinib,Brain tumor,CDK4/6 inhibitor
BRCA1,Tamoxifen,Solid tumors,Selective estrogen modulator
VEGFA,Sunitinib,Cancer,Selective estrogen modulator
MYC,JQ1,Refractory tumor,Selective estrogen modulator
FGFR1,Erdafitinib,Thyroid cancer,PARP inhibitor
PDGFRA,Sunitinib,Metastatic disease,VEGF pathway blocker
KIT,Imatinib,Pancreatic cancer,Monoclonal antibody
TP53,Idasanutlin,Prostate cancer,PI3K inhibitor
PTEN,Alpelisib,Breast cancer,Immune checkpoint inhibitor
MYC,JQ1,Thyroid cancer,Epigenetic modulator
ESR1,Tamoxifen,Cancer,Androgen receptor antagonist
FGFR1,Erdafitinib,Brain tumor,FGFR inhibitor
ERBB2,Lapatinib,Hematologic malignancy,Monoclonal antibody
KIT,Imatinib,Pancreatic cancer,CDK4/6 inhibitor
PTEN,Alpelisib,Lung cancer,CDK4/6 inhibitor
BRCA2,Olaparib,Refractory tumor,Androgen receptor antagonist
MDM2,Idasanutlin,Thyroid cancer,Androgen receptor antagonist
KIT,Imatinib,Refractory tumor,Tyrosine kinase inhibitor
ESR1,Tamoxifen,Advanced cancer,FGFR inhibitor
ERBB2,Lapatinib,Brain tumor,Immune checkpoint inhibitor
FGFR3,Erdafitinib,Brain tumor,MEK inhibitor
BRCA1,Tamoxifen,Advanced cancer,Tyrosine kinase inhibitor
EGFR,Lapatinib,Refractory tumor,CDK4/6 inhibitor
BRCA2,Olaparib,Prostate cancer,MEK inhibitor
TP53,Idasanutlin,Prostate cancer,PARP inhibitor
ALK,Crizotinib,Hematologic malignancy,MEK inhibitor
ESR1,Tamoxifen,Advanced cancer,PI3K inhibitor
EGFR,Lapatinib,Cancer,CDK4/6 inhibitor
MET,Crizotinib,Hematologic malignancy,Epigenetic modulator
MET,Crizotinib,Refractory tumor,Androgen receptor antagonist
MYC,JQ1,Thyroid cancer,Tyrosine kinase inhibitor
PTEN,Alpelisib,Breast cancer,FGFR inhibitor
BRCA1,Olaparib,Prostate cancer,CDK4/6 inhibitor
KITLG,Imatinib,Brain tumor,VEGF pathway blocker
BRCA1,Olaparib,Prostate cancer,Epigenetic modulator
TP53,Idasanutlin,Lung cancer,VEGF pathway blocker
FGFR1,Erdafitinib,Lung cancer,CDK4/6 inhibitor
KITLG,Imatinib,Pancreatic cancer,CDK4/6 inhibitor
MDM2,Idasanutlin,Prostate cancer,Selective estrogen modulator
ESR1,Tamoxifen,Breast cancer,Androgen receptor antagonist
VEGFA,Sunitinib,Prostate cancer,Selective estrogen modulator
BRCA1,Tamoxifen,Hematologic malignancy,PI3K inhibitor
PIK3CA,Alpelisib,Refractory tumor,FGFR inhibitor
BRCA1,Tamoxifen,Lung cancer,CDK4/6 inhibitor
KIT,Imatinib,Metastatic disease,Androgen receptor antagonist
ERBB2,Lapatinib,Solid tumors,VEGF pathway blocker
ERBB2,Lapatinib,Brain tumor,Selective estrogen modulator
PDGFRA,Imatinib,Pancreatic cancer,Androgen receptor antagonist
PIK3CA,Alpelisib,Solid tumors,Tyrosine kinase inhibitor
KITLG,Imatinib,Solid tumors,CDK4/6 inhibitor
BRCA1,Tamoxifen,Thyroid cancer,Selective estrogen modulator
FGFR3,Erdafitinib,Solid tumors,MEK inhibitor
EGFR,Lapatinib,Advanced cancer,PI3K inhibitor
FGFR3,Erdafitinib,Refractory tumor,MEK inhibitor
PTEN,Alpelisib,Hematologic malignancy,CDK4/6 inhibitor
PDGFRA,Sunitinib,Cancer,Tyrosine kinase inhibitor
BRCA1,Olaparib,Breast cancer,CDK4/6 inhibitor
ESR1,Tamoxifen,Lung cancer,Epigenetic modulator
FGFR3,Erdafitinib,Solid tumors,Androgen receptor antagonist
ALK,Crizotinib,Lung cancer,PI3K inhibitor
ALK,Crizotinib,Pancreatic cancer,PARP inhibitor
PIK3CA,Alpelisib,Thyroid cancer,FGFR inhibitor
MYC,JQ1,Hematologic malignancy,MEK inhibitor
PDGFRA,Sunitinib,Breast cancer,PI3K inhibitor
EGFR,Lapatinib,Metastatic disease,PARP inhibitor
KIT,Sunitinib,Advanced cancer,Immune checkpoint inhibitor
EGFR,Lapatinib,Brain tumor,PARP inhibitor
ALK,Crizotinib,Brain tumor,Androgen receptor antagonist
MET,Crizotinib,Pancreatic cancer,PI3K inhibitor
ERBB2,Lapatinib,Refractory tumor,VEGF pathway blocker
BRCA1,Tamoxifen,Breast cancer,Androgen receptor antagonist
ERBB2,Lapatinib,Brain tumor,PARP inhibitor
FGFR1,Erdafitinib,Refractory tumor,Androgen receptor antagonist
KIT,Sunitinib,Pancreatic cancer,PARP inhibitor
MDM2,Idasanutlin,Breast cancer,CDK4/6 inhibitor
BRCA2,Olaparib,Brain tumor,Epigenetic modulator
MET,Crizotinib,Lung cancer,MEK inhibitor
EGFR,Lapatinib,Lung cancer,Immune checkpoint inhibitor
BRCA1,Olaparib,Cancer,FGFR inhibitor
VEGFA,Sunitinib,Prostate cancer,Monoclonal antibody
